monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1726615231338000,10476,160,1,0,172,490021574,0,0,0
1726615251698000,10477,320,0,0,172,490021574,1,160,20360000
1726615271906000,10478,480,0,0,172,490021574,1,160,20208000
1726615291127000,10479,640,0,0,172,490021574,1,160,19221000
1726615311321000,10480,800,0,0,172,490021574,1,160,20194000
1726615331562000,10481,960,0,0,172,490021574,1,160,20241000
1726615351074000,10482,1120,0,0,172,490021574,1,160,19512000
1726615371297000,10483,1280,0,0,172,490021574,1,160,20223000
1726615391488000,10484,1440,0,0,172,490021574,1,160,20191000
1726615411762000,10485,1600,0,0,172,490021574,1,160,20274000
1726615432016000,10486,1760,0,0,172,490021574,1,160,20254000
1726615450967000,10487,1920,0,0,172,490021574,1,160,18951000
1726615471099000,10488,2080,0,0,172,490021574,1,160,20132000
1726615490492000,10489,2240,0,0,172,490021574,1,160,19393000
1726615511676000,10490,2400,0,0,172,490021574,1,160,21184000
1726615531928000,10491,2560,0,0,172,490021574,1,160,20252000
1726615551102000,10492,2720,0,0,172,490021574,1,160,19174000
1726615571278000,10493,2880,0,0,172,490021574,1,160,20176000
1726615590802000,10494,3040,0,0,172,490021574,1,160,19524000
1726615611775000,10495,3200,0,0,172,490021574,1,160,20973000
1726615632007000,10496,3360,0,0,172,490021574,1,160,20232000
1726615651178000,10497,3520,0,0,172,490021574,1,160,19171000
1726615671355000,10498,3680,0,0,172,490021574,1,160,20177000
1726615691583000,10499,3840,0,0,172,490021574,1,160,20228000
1726615711467000,10500,4000,0,0,172,490021574,1,160,19884000
1726615731707000,10501,4160,0,0,172,490021574,1,160,20240000
1726615751878000,10502,4320,0,0,172,490021574,1,160,20171000
1726615771244000,10503,4480,0,0,172,490021574,1,160,19366000
1726615791455000,10504,4640,0,0,172,490021574,1,160,20211000
1726615811681000,10505,4800,0,0,172,490021574,1,160,20226000
1726615831925000,10506,4960,0,0,172,490021574,1,160,20244000
1726615851159000,10507,5120,0,0,172,490021574,1,160,19234000
1726615871324000,10508,5280,0,0,172,490021574,1,160,20165000
1726615891505000,10509,5440,0,0,172,490021574,1,160,20181000
1726615911709000,10510,5600,0,0,172,490021574,1,160,20204000
1726615931782000,10511,5760,0,0,172,490021574,1,160,20073000
1726615951846000,10512,5920,0,0,172,490021574,1,160,20064000
1726615971139000,10513,6080,0,0,172,490021574,1,160,19293000
1726615991217000,10514,6240,0,0,172,490021574,1,160,20078000
1726616010296000,10515,6400,0,0,172,490021574,1,160,19079000
1726616031373000,10516,6560,0,0,172,490021574,1,160,21077000
1726616051474000,10517,6720,0,0,172,490021574,1,160,20101000
1726616071568000,10518,6880,0,0,172,490021574,1,160,20094000
1726616091621000,10519,7040,0,0,172,490021574,1,160,20053000
1726616111197000,10520,7200,0,0,172,490021574,1,160,19576000
1726616131345000,10521,7360,0,0,172,490021574,1,160,20148000
1726616151368000,10522,7520,0,0,172,490021574,1,160,20023000
1726616171468000,10523,7680,0,0,172,490021574,1,160,20100000
1726616191546000,10524,7840,0,0,172,490021574,1,160,20078000
1726616211772000,10525,8000,0,0,172,490021574,1,160,20226000
1726616231128000,10526,8160,0,0,172,490021574,1,160,19356000
1726616250925000,10527,8320,0,0,172,490021574,1,160,19797000
1726616271028000,10528,8480,0,0,172,490021574,1,160,20103000
1726616290584000,10529,8640,0,0,172,490021574,1,160,19556000
