# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=2000
# columns: time_s  S_score  PP_score  TRN_flat  label
0.0100  1.897  -0.044  0.653  T
0.0150  2.300  0.008  0.591  T
0.0200  0.667  0.020  0.610  T
0.0250  1.265  -0.029  0.581  T
0.0300  2.138  -0.070  0.582  T
0.0350  2.937  0.051  0.570  T
0.0400  1.531  -0.016  0.684  T
0.0450  0.940  -0.029  0.595  T
0.0500  4.227  -0.028  0.636  T
0.0550  4.465  -0.043  0.531  T
0.0600  2.093  -0.025  0.582  T
0.0650  0.587  0.008  0.538  T
0.0700  1.415  0.045  0.587  T
0.0750  2.914  -0.062  0.487  T
0.0800  2.458  -0.045  0.628  T
0.0850  2.408  -0.012  0.644  T
0.0900  1.764  -0.014  0.741  T
0.0950  8.966  -0.201  0.180  T
0.1000  11.657  -0.191  0.059  S
0.1050  7.377  -0.146  0.007  T
0.1100  5.435  -0.331  0.000  T
0.1150  5.336  -0.358  0.000  T
0.1200  5.240  -0.379  0.000  T
0.1250  5.128  -0.339  0.000  T
0.1300  5.015  -0.126  0.000  T
0.1350  5.066  -0.003  0.000  T
0.1400  5.198  -0.316  0.000  T
0.1450  5.281  -0.349  0.000  T
0.1500  5.347  -0.360  0.000  T
0.1550  5.350  -0.351  0.000  T
0.1600  5.360  -0.286  0.000  T
0.1650  5.442  -0.015  0.000  T
0.1700  5.467  -0.120  0.000  T
0.1750  5.390  -0.323  0.000  T
0.1800  5.393  -0.356  0.000  T
0.1850  5.240  -0.365  0.000  T
0.1900  5.165  -0.354  0.000  T
0.1950  5.141  -0.294  0.000  T
0.2000  5.005  0.078  0.000  T
0.2050  5.127  -0.221  0.000  T
0.2100  5.205  -0.336  0.000  T
0.2150  5.331  -0.359  0.000  T
0.2200  5.319  -0.363  0.000  T
0.2250  5.400  -0.320  0.000  T
0.2300  5.410  -0.180  0.000  T
0.2350  5.391  0.011  0.000  T
0.2400  5.478  -0.273  0.000  T
0.2450  5.385  -0.349  0.000  T
0.2500  5.320  -0.375  0.000  T
0.2550  5.226  -0.356  0.000  T
0.2600  5.114  -0.346  0.000  T
0.2650  5.060  -0.084  0.000  T
0.2700  5.040  -0.076  0.000  T
0.2750  5.196  -0.333  0.000  T
0.2800  5.260  -0.347  0.000  T
0.2850  5.337  -0.357  0.000  T
0.2900  5.366  -0.348  0.000  T
0.2950  5.391  -0.240  0.000  T
0.3000  5.428  0.076  0.000  T
0.3050  5.430  -0.199  0.000  T
0.3100  5.458  -0.330  0.000  T
0.3150  5.346  -0.373  0.000  T
0.3200  5.297  -0.370  0.000  T
0.3250  5.152  -0.350  0.000  T
0.3300  5.048  -0.257  0.000  T
0.3350  5.173  0.140  0.000  T
0.3400  5.249  -0.276  0.000  T
0.3450  5.250  -0.348  0.000  T
0.3500  5.282  -0.358  0.000  T
0.3550  5.406  -0.348  0.000  T
0.3600  5.379  -0.341  0.000  T
0.3650  5.412  -0.123  0.000  T
0.3700  5.402  0.024  0.000  T
