# V.34 Phase 3 baseband IQ symbols
# sym_rate=3000  fc=1800  t0=10.0  t1=12.5
# columns: sym_idx  time_ms  I  Q  s_score  pp_score  label
     0      0.000  +0.000856  -0.002864  0.000  0.000  T
     1      0.333  -0.001005  +0.001285  0.000  0.000  T
     2      0.667  +0.001175  -0.001537  0.000  0.000  T
     3      1.000  -0.001619  +0.000461  0.000  0.000  T
     4      1.333  +0.001504  -0.000164  0.000  0.000  T
     5      1.667  -0.001491  -0.000188  0.000  0.000  T
     6      2.000  +0.001563  +0.000050  0.000  0.000  T
     7      2.333  -0.001405  -0.000032  0.000  0.000  T
     8      2.667  +0.001169  -0.000011  0.000  0.000  T
     9      3.000  -0.000843  +0.000566  0.000  0.000  T
    10      3.333  +0.000653  -0.000515  0.000  0.000  T
    11      3.667  -0.000254  +0.000918  0.000  0.000  T
    12      4.000  +0.000364  -0.000942  0.000  0.000  T
    13      4.333  +0.000043  +0.000600  0.000  0.000  T
    14      4.667  +0.000000  -0.000619  0.000  0.000  T
    15      5.000  +0.000157  +0.000299  0.000  0.000  T
    16      5.333  -0.000416  -0.000578  0.000  0.000  T
    17      5.667  +0.000402  +0.000589  0.000  0.000  T
    18      6.000  -0.000763  -0.000440  0.000  0.000  T
    19      6.333  +0.000627  +0.000242  0.000  0.000  T
    20      6.667  -0.000573  +0.000101  0.000  0.000  T
    21      7.000  +0.000443  -0.000268  0.000  0.000  T
    22      7.333  -0.000293  +0.000273  0.000  0.000  T
    23      7.667  +0.000290  -0.000044  0.000  0.000  T
    24      8.000  -0.000147  +0.000359  0.000  0.000  T
    25      8.333  +0.000141  -0.000055  0.000  0.000  T
    26      8.667  +0.000017  +0.000142  0.000  0.000  T
    27      9.000  -0.000150  -0.000318  0.000  0.000  T
    28      9.333  +0.000334  -0.000081  0.000  0.000  T
    29      9.667  -0.000365  -0.000276  0.000  0.000  T
    30     10.000  +0.000051  +0.000235  0.000  0.000  T
    31     10.333  -0.000297  -0.000135  0.000  0.000  T
    32     10.667  +0.000147  +0.000271  0.031  0.000  T
    33     11.000  -0.000061  -0.000235  0.031  0.000  T
    34     11.333  +0.000339  +0.000082  0.031  0.000  T
    35     11.667  +0.000019  +0.000077  0.031  0.000  T
    36     12.000  +0.000061  -0.000296  0.031  0.000  T
    37     12.333  +0.000001  +0.000265  0.031  0.000  T
    38     12.667  -0.000339  -0.000266  0.031  0.000  T
    39     13.000  +0.000224  +0.000255  0.031  0.000  T
    40     13.333  -0.000263  -0.000044  0.047  0.000  T
    41     13.667  +0.000237  +0.000410  0.047  0.000  T
    42     14.000  -0.000115  -0.000079  0.062  0.000  T
    43     14.333  +0.000058  +0.000190  0.062  0.000  T
    44     14.667  +0.000028  -0.000354  0.062  0.000  T
    45     15.000  -0.000021  -0.000056  0.062  0.000  T
    46     15.333  +0.000014  -0.000308  0.062  0.000  T
    47     15.667  -0.000125  +0.000019  0.078  0.000  T
    48     16.000  +0.000194  -0.000072  0.078  0.000  T
    49     16.333  -0.000342  +0.000109  0.078  0.000  T
    50     16.667  +0.000404  +0.000085  0.078  0.000  T
    51     17.000  -0.000309  +0.000178  0.078  0.000  T
    52     17.333  +0.000303  -0.000139  0.078  0.000  T
    53     17.667  -0.000092  +0.000337  0.078  0.000  T
    54     18.000  +0.000260  -0.000145  0.078  0.000  T
    55     18.333  -0.000274  +0.000071  0.078  0.000  T
    56     18.667  +0.000267  -0.000078  0.078  0.000  T
    57     19.000  -0.000344  -0.000167  0.078  0.000  T
    58     19.333  +0.000093  +0.000079  0.078  0.000  T
    59     19.667  -0.000117  -0.000024  0.078  0.000  T
    60     20.000  -0.000031  -0.000107  0.078  0.000  T
    61     20.333  -0.000115  +0.000121  0.078  0.000  T
    62     20.667  +0.000016  -0.000249  0.078  0.000  T
    63     21.000  +0.000044  +0.000140  0.078  0.000  T
    64     21.333  +0.000102  -0.000089  0.078  0.000  T
    65     21.667  +0.000016  +0.000206  0.078  0.000  T
    66     22.000  +0.000008  +0.000140  0.078  0.000  T
    67     22.333  +0.000097  -0.000205  0.094  0.000  T
    68     22.667  +0.000031  +0.000387  0.094  0.000  T
    69     23.000  -0.000205  -0.000271  0.094  0.000  T
    70     23.333  +0.000120  +0.000248  0.094  0.000  T
    71     23.667  -0.000058  -0.000169  0.094  0.000  T
    72     24.000  +0.000118  -0.000077  0.094  0.000  T
    73     24.333  +0.000036  -0.000213  0.094  0.000  T
    74     24.667  +0.000137  -0.000016  0.109  0.000  T
    75     25.000  -0.000060  -0.000258  0.109  0.000  T
    76     25.333  -0.000063  +0.000132  0.125  0.000  T
    77     25.667  -0.000039  +0.000028  0.125  0.000  T
    78     26.000  -0.000082  +0.000188  0.125  0.000  T
    79     26.333  -0.000067  -0.000042  0.125  0.000  T
    80     26.667  -0.000153  +0.000246  0.125  0.000  T
    81     27.000  +0.000003  -0.000010  0.125  0.000  T
    82     27.333  -0.000099  +0.000004  0.125  0.000  T
    83     27.667  +0.000259  +0.000127  0.125  0.000  T
    84     28.000  -0.000071  -0.000077  0.125  0.000  T
    85     28.333  +0.000167  +0.000202  0.125  0.000  T
    86     28.667  +0.000087  -0.000426  0.125  0.000  T
    87     29.000  +0.000009  +0.000144  0.125  0.000  T
    88     29.333  -0.000033  -0.000363  0.125  0.000  T
    89     29.667  +0.000081  +0.000108  0.125  0.000  T
    90     30.000  -0.000090  +0.000043  0.125  0.000  T
    91     30.333  +0.000044  -0.000013  0.125  0.000  T
    92     30.667  +0.000041  +0.000267  0.125  0.000  T
    93     31.000  -0.000261  -0.000153  0.125  0.000  T
    94     31.333  +0.000197  +0.000106  0.125  0.000  T
    95     31.667  -0.000555  -0.000161  0.125  0.000  T
    96     32.000  +0.000317  +0.000060  0.125  0.000  T
    97     32.333  -0.000382  -0.000190  0.125  0.000  T
    98     32.667  +0.000263  +0.000222  0.125  0.000  T
    99     33.000  +0.000171  -0.000120  0.125  0.000  T
   100     33.333  +0.000175  +0.000081  0.125  0.000  T
   101     33.667  +0.000142  +0.000029  0.125  0.000  T
   102     34.000  +0.000118  +0.000087  0.125  0.000  T
   103     34.333  -0.000150  -0.000051  0.125  0.000  T
   104     34.667  +0.000065  -0.000076  0.109  0.000  T
   105     35.000  -0.000210  +0.000043  0.109  0.000  T
   106     35.333  -0.000025  -0.000208  0.094  0.000  T
   107     35.667  -0.000011  +0.000257  0.094  0.000  T
   108     36.000  -0.000243  -0.000091  0.094  0.000  T
   109     36.333  +0.000058  +0.000151  0.094  0.000  T
   110     36.667  -0.000177  -0.000128  0.094  0.000  T
   111     37.000  +0.000293  +0.000092  0.094  0.000  T
   112     37.333  -0.000238  -0.000055  0.094  0.000  T
   113     37.667  +0.000331  +0.000085  0.109  0.000  T
   114     38.000  -0.000149  -0.000023  0.109  0.000  T
   115     38.333  +0.000221  -0.000115  0.109  0.000  T
   116     38.667  -0.000217  -0.000082  0.109  0.000  T
   117     39.000  +0.000420  -0.000088  0.109  0.000  T
   118     39.333  -0.000030  +0.000011  0.109  0.000  T
   119     39.667  -0.000234  +0.000083  0.109  0.000  T
   120     40.000  +0.000387  +0.000060  0.109  0.000  T
   121     40.333  -0.000623  +0.000210  0.109  0.000  T
   122     40.667  +0.000369  -0.000108  0.094  0.000  T
   123     41.000  -0.000846  -0.000056  0.094  0.000  T
   124     41.333  +0.000511  +0.000049  0.078  0.000  T
   125     41.667  -0.000325  -0.000298  0.078  0.000  T
   126     42.000  +0.000390  +0.000164  0.078  0.000  T
   127     42.333  -0.000212  +0.000072  0.078  0.000  T
   128     42.667  +0.000569  +0.000062  0.078  0.000  T
   129     43.000  -0.000396  -0.000013  0.078  0.000  T
   130     43.333  +0.000519  +0.000047  0.078  0.000  T
   131     43.667  -0.000348  +0.000118  0.078  0.000  T
   132     44.000  +0.000323  -0.000082  0.078  0.000  T
   133     44.333  -0.000184  -0.000102  0.078  0.000  T
   134     44.667  +0.000066  +0.000037  0.078  0.000  T
   135     45.000  -0.000218  -0.000153  0.078  0.000  T
   136     45.333  -0.000112  -0.000167  0.062  0.000  T
   137     45.667  -0.000207  +0.000309  0.062  0.000  T
   138     46.000  -0.000077  -0.000359  0.047  0.000  T
   139     46.333  -0.000177  +0.000447  0.047  0.000  T
   140     46.667  +0.000226  -0.000353  0.031  0.000  T
   141     47.000  +0.000178  +0.000312  0.031  0.000  T
   142     47.333  +0.000093  -0.000343  0.047  0.000  T
   143     47.667  +0.000331  +0.000218  0.047  0.000  T
   144     48.000  -0.000025  +0.000012  0.062  0.000  T
   145     48.333  -0.000065  -0.000122  0.062  0.000  T
   146     48.667  +0.000059  +0.000299  0.062  0.000  T
   147     49.000  -0.000198  -0.000143  0.078  0.000  T
   148     49.333  -0.000000  +0.000231  0.094  0.000  T
   149     49.667  +0.000102  -0.000098  0.094  0.000  T
   150     50.000  -0.000324  +0.000105  0.094  0.000  T
   151     50.333  +0.000367  -0.000221  0.094  0.000  T
   152     50.667  -0.000659  +0.000073  0.094  0.000  T
   153     51.000  +0.000381  -0.000342  0.094  0.000  T
   154     51.333  -0.000263  +0.000243  0.094  0.000  T
   155     51.667  +0.000235  -0.000219  0.094  0.000  T
   156     52.000  -0.000111  +0.000094  0.094  0.000  T
   157     52.333  +0.000164  -0.000097  0.094  0.000  T
