start_ms=11621.000000
slip_symbols=3
start_sym=4863
symbols=256
mag_ratio=1.787145
sym_evm=0.680089
diff_evm=0.746693
origin_frac=0.046875
quad_balance=0.109375
diff_balance=0.406250
i_mean=-0.023693
q_mean=-0.022343
idx	I	Q	mag	phase_deg	diff_phase_deg
4863	-0.929498	+1.643692	1.888304	+119.488	+154.683
4864	+2.051275	+0.425655	2.094972	+11.723	-107.765
4865	-1.151325	-0.245514	1.177212	-167.962	-179.685
4866	+0.631558	+0.531204	0.825253	+40.067	-151.970
4867	-0.653800	-0.293551	0.716678	-155.820	+164.112
4868	-1.626484	+0.011453	1.626524	+179.597	-24.583
4869	-0.842824	-0.797260	1.160162	-136.591	+43.812
4870	-1.435623	-1.337040	1.961808	-137.036	-0.445
4871	+2.135095	-0.657213	2.233956	-17.109	+119.927
4872	+0.274459	+2.423691	2.439181	+83.539	+100.648
4873	-0.142904	-0.644808	0.660454	-102.496	+173.965
4874	+0.255370	+0.424652	0.495523	+58.979	+161.475
4875	+0.658993	+1.768366	1.887165	+69.562	+10.583
4876	-1.936837	+0.465105	1.991898	+166.497	+96.935
4877	+0.221939	-2.526759	2.536488	-84.980	+108.523
4878	+0.225194	-0.473954	0.524733	-64.586	+20.395
4879	+1.421329	-1.439747	2.023128	-45.369	+19.217
4880	-0.065077	+0.291482	0.298659	+102.586	+147.954
4881	+0.125486	+0.102528	0.162045	+39.250	-63.335
4882	+0.349960	-0.306603	0.465271	-41.222	-80.472
4883	-0.786968	+1.715070	1.887004	+114.648	+155.870
4884	+2.077983	+0.277396	2.096416	+7.604	-107.045
4885	-1.155242	-0.170267	1.167723	-171.616	-179.219
4886	+0.654593	+0.501348	0.824526	+37.448	-150.936
4887	-0.687694	-0.259570	0.735051	-159.321	+163.231
4888	-1.621350	+0.075614	1.623112	+177.330	-23.349
4889	-0.866484	-0.750392	1.146248	-139.107	+43.563
4890	-1.524196	-1.289308	1.996369	-139.772	-0.666
4891	+2.117328	-0.733481	2.240775	-19.107	+120.665
4892	+0.374775	+2.419122	2.447981	+81.194	+100.301
4893	-0.170351	-0.600815	0.624498	-105.830	+172.977
4894	+0.267002	+0.408377	0.487916	+56.823	+162.653
4895	+0.728436	+1.755368	1.900509	+67.463	+10.640
4896	-1.912292	+0.512504	1.979778	+164.997	+97.534
4897	+0.149842	-2.519783	2.524234	-86.597	+108.406
4898	+0.205275	-0.469753	0.512646	-66.395	+20.201
4899	+1.399294	-1.477911	2.035251	-46.565	+19.830
4900	-0.039797	+0.276196	0.279048	+98.199	+144.765
4901	+0.126794	+0.104976	0.164611	+39.622	-58.577
4902	+0.358928	-0.320240	0.481022	-41.740	-81.362
4903	-0.784381	+1.719719	1.890155	+114.518	+156.258
4904	+2.082371	+0.248711	2.097171	+6.811	-107.707
4905	-1.181483	-0.161909	1.192525	-172.197	-179.008
4906	+0.667723	+0.489603	0.827989	+36.250	-151.553
4907	-0.703377	-0.249377	0.746276	-160.478	+163.271
4908	-1.622935	+0.093488	1.625625	+176.703	-22.818
4909	-0.867694	-0.749044	1.146281	-139.197	+44.100
4910	-1.481564	-1.279464	1.957565	-139.186	+0.011
4911	+2.091870	-0.726478	2.214427	-19.151	+120.035
4912	+0.362013	+2.413209	2.440211	+81.468	+100.620
4913	-0.161771	-0.632659	0.653014	-104.343	+174.188
4914	+0.302327	+0.427682	0.523749	+54.744	+159.087
4915	+0.709227	+1.766678	1.903721	+68.127	+13.384
4916	-1.919303	+0.521433	1.988874	+164.801	+96.674
4917	+0.154169	-2.557418	2.562060	-86.550	+108.649
4918	+0.199508	-0.466297	0.507185	-66.836	+19.714
4919	+1.378668	-1.495204	2.033805	-47.322	+19.514
4920	-0.045422	+0.283804	0.287416	+99.093	+146.415
4921	+0.134493	+0.106391	0.171486	+38.346	-60.747
4922	+0.345507	-0.298799	0.456789	-40.854	-79.200
4923	-0.781397	+1.718569	1.887872	+114.450	+155.304
4924	+2.077616	+0.269004	2.094958	+7.377	-107.073
4925	-1.164656	-0.170531	1.177075	-171.670	-179.047
4926	+0.666304	+0.487630	0.825678	+36.198	-152.132
4927	-0.671015	-0.250400	0.716213	-159.536	+164.266
4928	-1.622962	+0.116552	1.627141	+175.892	-24.571
4929	-0.885675	-0.749787	1.160431	-139.750	+44.358
4930	-1.498177	-1.266874	1.962015	-139.782	-0.032
4931	+2.106507	-0.744207	2.234102	-19.458	+120.324
4932	+0.359255	+2.412047	2.438654	+81.529	+100.986
4933	-0.161869	-0.640308	0.660451	-104.187	+174.284
4934	+0.267077	+0.417276	0.495429	+57.379	+161.566
4935	+0.704995	+1.750486	1.887119	+68.063	+10.684
4936	-1.925565	+0.507731	1.991379	+165.229	+97.165
4937	+0.174867	-2.529910	2.535946	-86.046	+108.725
4938	+0.217721	-0.477491	0.524786	-65.488	+20.558
4939	+1.400435	-1.459969	2.023049	-46.192	+19.296
4940	-0.061427	+0.291995	0.298387	+101.880	+148.072
4941	+0.126792	+0.101762	0.162578	+38.750	-63.130
4942	+0.346068	-0.309956	0.464581	-41.849	-80.600
4943	-0.770254	+1.722621	1.886985	+114.091	+155.941
4944	+2.079889	+0.260167	2.096097	+7.130	-106.961
4945	-1.155528	-0.162967	1.166963	-171.972	-179.102
4946	+0.657092	+0.497954	0.824456	+37.155	-150.872
4947	-0.688747	-0.256364	0.734911	-159.584	+163.261
4948	-1.621211	+0.082093	1.623288	+177.101	-23.315
4949	-0.868823	-0.747881	1.146377	-139.278	+43.621
4950	-1.526899	-1.286394	1.996555	-139.886	-0.608
4951	+2.116404	-0.736470	2.240882	-19.187	+120.699
4952	+0.376978	+2.418379	2.447584	+81.140	+100.327
4953	-0.170180	-0.600829	0.624465	-105.814	+173.046
4954	+0.267236	+0.408417	0.488078	+56.802	+162.617
4955	+0.727921	+1.755654	1.900576	+67.480	+10.678
4956	-1.912629	+0.511788	1.979918	+165.020	+97.539
4957	+0.152219	-2.518972	2.523567	-86.542	+108.439
4958	+0.205141	-0.469973	0.512793	-66.419	+20.123
4959	+1.402226	-1.475899	2.035808	-46.466	+19.953
4960	-0.040415	+0.276037	0.278980	+98.330	+144.796
4961	+0.126504	+0.105270	0.164576	+39.765	-58.564
4962	+0.360032	-0.319493	0.481351	-41.586	-81.351
4963	-0.789041	+1.717847	1.890392	+114.670	+156.256
4964	+2.081452	+0.253754	2.096863	+6.951	-107.720
4965	-1.181382	-0.164644	1.192799	-172.066	-179.017
4966	+0.666949	+0.490709	0.828019	+36.344	-151.590
4967	-0.702539	-0.251208	0.746101	-160.324	+163.332
4968	-1.622891	+0.090152	1.625393	+176.820	-22.855
4969	-0.866002	-0.751750	1.146773	-139.040	+44.140
4970	-1.477878	-1.283062	1.957134	-139.036	+0.004
4971	+2.093619	-0.721099	2.214323	-19.005	+120.031
4972	+0.356080	+2.414183	2.440301	+81.610	+100.615
4973	-0.160605	-0.633131	0.653184	-104.234	+174.156
4974	+0.300970	+0.428474	0.523615	+54.915	+159.149
4975	+0.704832	+1.767788	1.903119	+68.262	+13.347
4976	-1.920376	+0.516771	1.988692	+164.939	+96.676
4977	+0.160296	-2.557536	2.562554	-86.414	+108.648
4978	+0.200578	-0.465444	0.506823	-66.687	+19.727
4979	+1.381621	-1.492151	2.033566	-47.203	+19.484
4980	-0.046209	+0.283871	0.287607	+99.246	+146.448
4981	+0.134244	+0.106816	0.171555	+38.509	-60.737
4982	+0.346552	-0.298181	0.457176	-40.709	-79.218
4983	-0.785287	+1.717239	1.888276	+114.574	+155.284
4984	+2.076787	+0.273829	2.094761	+7.511	-107.063
4985	-1.164358	-0.172942	1.177131	-171.552	-179.063
4986	+0.665007	+0.488704	0.825267	+36.312	-152.137
4987	-0.670685	-0.252264	0.716558	-159.387	+164.301
4988	-1.622750	+0.112682	1.626658	+176.028	-24.585
4989	-0.883962	-0.751307	1.160108	-139.638	+44.334
4990	-1.495882	-1.269345	1.961862	-139.683	-0.046
4991	+2.107599	-0.740178	2.233794	-19.351	+120.332
4992	+0.355074	+2.412637	2.438625	+81.628	+100.979
4993	-0.160785	-0.640904	0.660765	-104.083	+174.289
4994	+0.266644	+0.417634	0.495497	+57.443	+161.526
4995	+0.701802	+1.751864	1.887207	+68.169	+10.726
4996	-1.926625	+0.504360	1.991548	+165.330	+97.161
4997	+0.178804	-2.529527	2.535839	-85.957	+108.713
4998	+0.218441	-0.476862	0.524513	-65.388	+20.568
4999	+1.402358	-1.457824	2.022834	-46.111	+19.277
5000	-0.061888	+0.291849	0.298339	+101.972	+148.083
5001	+0.126688	+0.101386	0.162262	+38.670	-63.303
5002	+0.346815	-0.309388	0.464760	-41.736	-80.405
5003	-0.773089	+1.721572	1.887187	+114.183	+155.919
5004	+2.079530	+0.263054	2.096101	+7.209	-106.973
5005	-1.155755	-0.164502	1.167403	-171.899	-179.109
5006	+0.657057	+0.498818	0.824951	+37.205	-150.896
5007	-0.688571	-0.257340	0.735088	-159.508	+163.288
5008	-1.621233	+0.080027	1.623207	+177.174	-23.318
5009	-0.867775	-0.748931	1.146268	-139.204	+43.622
5010	-1.525456	-1.287693	1.996289	-139.831	-0.627
5011	+2.117142	-0.734470	2.240923	-19.132	+120.699
5012	+0.374623	+2.418687	2.447527	+81.196	+100.328
5013	-0.169673	-0.600613	0.624120	-105.775	+173.029
5014	+0.266520	+0.408679	0.487905	+56.890	+162.665
5015	+0.725583	+1.756095	1.900090	+67.551	+10.661
5016	-1.913144	+0.509534	1.979835	+165.086	+97.536
5017	+0.154654	-2.519199	2.523941	-86.487	+108.427
5018	+0.205999	-0.469378	0.512593	-66.304	+20.183
5019	+1.403302	-1.474551	2.035573	-46.418	+19.886
5020	-0.040995	+0.276533	0.279556	+98.432	+144.851
5021	+0.126250	+0.104990	0.164201	+39.747	-58.685
5022	+0.360199	-0.319178	0.481267	-41.545	-81.292
5023	-0.789984	+1.717182	1.890182	+114.705	+156.249
5024	+2.081621	+0.255647	2.097261	+7.002	-107.703
5025	-1.181388	-0.165470	1.192919	-172.027	-179.028
5026	+0.666590	+0.490750	0.827755	+36.361	-151.612
5027	-0.702333	-0.251817	0.746112	-160.275	+163.364
5028	-1.623063	+0.088723	1.625486	+176.871	-22.854
5029	-0.865276	-0.751762	1.146232	-139.016	+44.113
5030	-1.477334	-1.284663	1.957773	-138.990	+0.025
5031	+2.093982	-0.719835	2.214255	-18.971	+120.019
5032	+0.354560	+2.414426	2.440321	+81.646	+100.617
5033	-0.160415	-0.633009	0.653019	-104.220	+174.134
5034	+0.300417	+0.428409	0.523245	+54.960	+159.181
