# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
0.8150  0.166  0.179  0.076  P
0.8200  0.097  0.204  0.174  P
0.8250  0.129  0.235  0.149  P
0.8300  0.051  -0.076  0.289  T
0.8350  0.061  -0.022  0.277  T
0.8400  0.082  0.005  0.206  T
0.8450  0.071  -0.045  0.198  T
0.8500  0.073  -0.049  0.324  T
0.8550  0.250  -0.040  0.407  T
0.8600  0.156  0.174  0.078  P
0.8650  0.098  0.203  0.175  P
0.8700  0.123  0.235  0.147  P
0.8750  0.045  -0.075  0.287  T
0.8800  0.063  -0.022  0.277  T
0.8850  0.083  0.004  0.206  T
0.8900  0.086  0.244  0.150  P
0.8950  0.082  0.250  0.169  P
0.9000  0.085  0.254  0.173  P
0.9050  0.072  -0.046  0.198  T
0.9100  0.074  -0.049  0.324  T
0.9150  0.416  -0.111  0.414  T
0.9200  0.682  0.025  0.236  T
0.9250  1.158  -0.200  0.447  T
0.9300  0.193  -0.031  0.266  T
0.9350  0.394  0.014  0.240  T
0.9400  0.459  -0.045  0.278  T
0.9450  0.508  -0.026  0.212  T
0.9500  1.137  -0.098  0.708  T
0.9550  0.542  -0.234  0.385  T
0.9600  0.200  -0.185  0.172  T
0.9650  0.174  0.168  0.077  P
0.9700  0.104  0.205  0.179  P
0.9750  0.129  0.244  0.150  P
0.9800  0.195  0.134  0.068  T
0.9850  0.201  -0.165  0.036  T
0.9900  0.253  -0.164  0.137  T
0.9950  0.161  0.155  0.084  P
1.0000  0.091  0.203  0.172  P
1.0050  0.145  0.245  0.159  P
1.0100  0.171  0.180  0.080  P
1.0150  0.084  0.203  0.170  P
1.0200  0.144  0.234  0.160  P
1.0250  0.055  -0.092  0.334  T
1.0300  0.128  0.003  0.355  T
1.0350  0.422  0.007  0.364  T
1.0400  0.907  -0.117  0.629  T
1.0450  0.239  -0.019  0.182  T
1.0500  0.642  -0.170  0.206  T
1.0550  0.205  -0.153  0.339  T
1.0600  0.078  -0.084  0.248  T
1.0650  0.081  -0.015  0.206  T
1.0700  0.072  -0.046  0.197  T
1.0750  0.073  -0.049  0.324  T
1.0800  0.257  -0.040  0.408  T
1.0850  0.158  0.174  0.078  P
1.0900  0.091  0.203  0.174  P
1.0950  0.130  0.235  0.149  P
1.1000  0.049  -0.075  0.288  T
1.1050  0.060  -0.022  0.277  T
1.1100  0.082  0.004  0.206  T
1.1150  0.085  0.244  0.151  P
1.1200  0.082  0.250  0.170  P
1.1250  0.084  0.254  0.174  P
1.1300  0.071  -0.046  0.197  T
1.1350  0.075  -0.049  0.323  T
1.1400  0.428  -0.110  0.414  T
1.1450  0.679  0.026  0.235  T
1.1500  1.104  -0.199  0.442  T
1.1550  0.433  -0.030  0.264  T
1.1600  0.480  -0.112  0.243  T
1.1650  0.084  0.036  0.176  T
1.1700  0.634  -0.170  0.228  T
1.1750  0.201  -0.151  0.335  T
1.1800  0.105  -0.266  0.302  T
1.1850  0.176  -0.149  0.148  T
1.1900  0.170  0.179  0.075  P
1.1950  0.102  0.204  0.175  P
1.2000  0.125  0.244  0.150  P
1.2050  0.191  0.134  0.068  T
1.2100  0.203  -0.166  0.036  T
1.2150  0.247  -0.165  0.139  T
1.2200  0.156  0.152  0.086  P
1.2250  0.085  0.206  0.172  P
1.2300  0.131  0.242  0.149  P
1.2350  0.163  0.180  0.078  P
1.2400  0.096  0.205  0.169  P
1.2450  0.132  0.230  0.148  P
1.2500  0.399  0.048  0.370  T
1.2550  0.963  -0.055  0.769  T
1.2600  1.191  -0.060  0.884  T
1.2650  0.052  -0.028  0.149  T
1.2700  0.693  -0.187  0.217  T
1.2750  0.306  -0.177  0.121  T
1.2800  0.057  -0.184  0.282  T
1.2850  0.058  -0.037  0.278  T
1.2900  0.081  0.005  0.206  T
1.2950  0.071  -0.046  0.198  T
1.3000  0.073  -0.049  0.324  T
