# V.34 Phase 3 segment timeline
# sym_rate=3200  fc=1920
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR        1974     616.875
   616.875  PP (6×48T)          168      52.500
   669.375  TRN/J_a/SCR          60      18.750
   688.125  PP (6×48T)         1668     521.250
  1209.375  TRN/J_a/SCR          60      18.750
  1228.125  PP (6×48T)          168      52.500
  1280.625  TRN/J_a/SCR        6192    1935.000
  3215.625  PP (6×48T)          180      56.250
  3271.875  TRN/J_a/SCR          48      15.000
  3286.875  PP (6×48T)         1668     521.250
  3808.125  TRN/J_a/SCR          60      18.750
  3826.875  PP (6×48T)          168      52.500
  3879.375  TRN/J_a/SCR         468     146.250
  4025.625  PP (6×48T)           12       3.750
  4029.375  TRN/J_a/SCR         852     266.250
  4295.625  PP (6×48T)           48      15.000
  4310.625  TRN/J_a/SCR        1151     359.688
  4670.312  S / S̄             1022     319.375
  4989.688  TRN/J_a/SCR          33      10.312
