# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
0.0100  39.599  -0.091  0.002  S
0.0150  39.804  -0.062  0.001  S
0.0200  39.766  -0.087  0.000  S
0.0250  39.755  -0.086  0.000  S
0.0300  39.796  -0.095  0.000  S
0.0350  36.620  0.045  0.011  S
0.0400  12.486  -0.041  0.175  S
0.0450  5.463  0.003  0.327  T
0.0500  1.756  0.021  0.424  T
0.0550  1.892  -0.057  0.673  T
0.0600  1.899  -0.040  0.531  T
0.0650  1.178  0.002  0.529  T
0.0700  1.884  0.002  0.688  T
0.0750  1.954  -0.039  0.536  T
0.0800  1.163  -0.008  0.530  T
0.0850  1.849  0.007  0.689  T
0.0900  1.913  -0.043  0.535  T
0.0950  1.170  -0.002  0.531  T
0.1000  1.904  0.006  0.681  T
0.1050  1.934  -0.037  0.527  T
0.1100  1.173  0.007  0.532  T
0.1150  1.812  0.006  0.687  T
0.1200  1.889  -0.041  0.534  T
0.1250  1.208  0.016  0.529  T
0.1300  1.538  0.036  0.676  T
0.1350  1.635  0.003  0.436  T
0.1400  1.754  0.066  0.422  T
0.1450  1.924  0.037  0.409  T
0.1500  1.674  0.081  0.489  T
0.1550  2.681  -0.064  0.367  T
0.1600  1.880  -0.081  0.430  T
0.1650  1.519  -0.067  0.436  T
0.1700  2.117  -0.023  0.530  T
0.1750  2.302  0.047  0.578  T
0.1800  2.979  -0.033  0.596  T
0.1850  1.608  -0.047  0.543  T
0.1900  2.835  -0.046  0.572  T
0.1950  3.703  -0.017  0.562  T
0.2000  0.634  -0.018  0.563  T
0.2050  0.779  -0.071  0.450  T
0.2100  0.672  0.153  0.465  P
0.2150  0.416  -0.038  0.424  T
0.2200  1.875  -0.058  0.479  T
0.2250  2.193  0.032  0.493  T
0.2300  2.207  -0.086  0.485  T
0.2350  2.796  0.029  0.476  T
0.2400  3.334  -0.006  0.506  T
0.2450  2.244  0.062  0.426  T
0.2500  1.056  0.004  0.506  T
0.2550  3.552  -0.012  0.491  T
0.2600  4.148  -0.031  0.506  T
0.2650  1.742  -0.020  0.496  T
0.2700  1.658  0.017  0.575  T
0.2750  2.263  0.071  0.427  T
0.2800  5.570  0.031  0.432  T
0.2850  3.202  0.049  0.475  T
0.2900  2.242  0.027  0.468  T
0.2950  5.613  -0.029  0.461  T
0.3000  3.291  0.063  0.434  T
0.3050  0.609  -0.059  0.443  T
0.3100  0.655  0.021  0.488  T
0.3150  0.532  0.048  0.375  T
0.3200  0.362  0.073  0.387  T
0.3250  0.786  0.068  0.446  T
0.3300  0.932  0.014  0.486  T
0.3350  1.300  -0.014  0.331  T
0.3400  3.832  0.011  0.382  T
0.3450  3.998  0.020  0.477  T
0.3500  1.844  0.056  0.539  T
0.3550  1.426  -0.104  0.450  T
0.3600  1.944  -0.017  0.454  T
