start_ms=12203.000000
slip_symbols=-3
start_sym=6609
symbols=256
mag_ratio=1.369053
sym_evm=0.831612
diff_evm=1.009335
origin_frac=0.273438
quad_balance=0.023438
diff_balance=0.781250
i_mean=+0.002025
q_mean=-0.000472
idx	I	Q	mag	phase_deg	diff_phase_deg
6710	-0.040862	-0.074953	0.085367	-118.598	-66.792
6711	+0.291636	-0.306552	0.423114	-46.428	+72.169
6712	+0.518324	+0.383888	0.645003	+36.525	+82.953
6713	-0.265067	+0.550738	0.611206	+115.701	+79.176
6714	-0.404933	+0.009249	0.405039	+178.692	+62.990
6715	-0.358557	-0.073162	0.365945	-168.467	+12.841
6716	-0.183249	-0.457799	0.493112	-111.815	+56.652
6717	+0.307452	-0.293680	0.425177	-43.688	+68.128
6718	+0.185469	+0.068545	0.197730	+20.283	+63.971
6719	+0.118474	+0.004916	0.118576	+2.376	-17.907
6720	+0.117171	+0.152266	0.192130	+52.421	+50.045
6721	-0.085812	+0.164161	0.185236	+117.597	+65.176
6722	-0.080188	-0.006967	0.080490	-175.034	+67.368
6723	+0.005854	+0.030435	0.030993	+79.113	-105.853
6724	-0.024087	+0.022593	0.033025	+136.834	+57.721
6725	-0.022408	+0.039664	0.045556	+119.464	-17.370
6726	-0.079573	-0.064350	0.102337	-141.038	+99.499
6727	+0.035767	-0.085756	0.092916	-67.360	+73.678
6728	+0.047765	-0.045095	0.065689	-43.353	+24.007
6729	+0.038151	+0.044934	0.058946	+49.668	+93.021
6730	-0.052825	-0.008032	0.053432	-171.354	+138.978
6731	+0.003131	-0.042526	0.042642	-85.789	+85.565
6732	+0.042421	-0.013475	0.044510	-17.622	+68.167
6733	+0.043093	+0.067974	0.080482	+57.627	+75.249
6734	-0.032022	+0.045976	0.056029	+124.857	+67.230
6735	-0.044743	-0.000635	0.044747	-179.187	+55.956
6736	+0.023873	-0.066967	0.071095	-70.379	+108.808
6737	+0.041398	+0.035458	0.054508	+40.581	+110.960
6738	-0.059428	+0.011340	0.060500	+169.197	+128.616
6739	-0.040678	+0.000324	0.040680	+179.544	+10.348
6740	-0.041456	-0.058566	0.071754	-125.293	+55.163
6741	+0.077244	-0.017732	0.079253	-12.929	+112.364
6742	+0.015147	+0.060664	0.062527	+75.980	+88.909
6743	-0.000622	+0.039160	0.039165	+90.909	+14.929
6744	-0.055943	-0.023682	0.060749	-157.056	+112.035
6745	+0.054167	-0.044621	0.070179	-39.481	+117.575
6746	+0.044298	+0.025283	0.051005	+29.716	+69.197
