# V.34 Phase 3 segment timeline
# sym_rate=2400  fc=1800
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         138      57.500
    57.500  PP (6×48T)           96      40.000
    97.500  TRN/J_a/SCR          60      25.000
   122.500  PP (6×48T)          108      45.000
   167.500  TRN/J_a/SCR          24      10.000
   177.500  PP (6×48T)           12       5.000
   182.500  TRN/J_a/SCR         360     150.000
   332.500  PP (6×48T)          192      80.000
   412.500  TRN/J_a/SCR          24      10.000
   422.500  PP (6×48T)          108      45.000
   467.500  TRN/J_a/SCR          24      10.000
   477.500  PP (6×48T)           12       5.000
   482.500  TRN/J_a/SCR         360     150.000
   632.500  PP (6×48T)          192      80.000
   712.500  TRN/J_a/SCR          24      10.000
   722.500  PP (6×48T)          108      45.000
   767.500  TRN/J_a/SCR          24      10.000
   777.500  PP (6×48T)           12       5.000
   782.500  TRN/J_a/SCR         360     150.000
   932.500  PP (6×48T)          192      80.000
  1012.500  TRN/J_a/SCR          24      10.000
  1022.500  PP (6×48T)          108      45.000
  1067.500  TRN/J_a/SCR          24      10.000
  1077.500  PP (6×48T)           12       5.000
  1082.500  TRN/J_a/SCR         612     255.000
  1337.500  PP (6×48T)          168      70.000
  1407.500  TRN/J_a/SCR         156      65.000
  1472.500  PP (6×48T)           96      40.000
  1512.500  TRN/J_a/SCR          48      20.000
  1532.500  PP (6×48T)          504     210.000
  1742.500  TRN/J_a/SCR          72      30.000
  1772.500  PP (6×48T)          180      75.000
  1847.500  TRN/J_a/SCR         365     152.083
