# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3200  fc=1829
# columns: time_s  S_score  PP_score  TRN_flat  label
0.8150  1.332  0.021  0.331  T
0.8200  3.012  0.017  0.365  T
0.8250  1.117  -0.071  0.331  T
0.8300  1.157  0.029  0.370  T
0.8350  1.604  -0.109  0.334  T
0.8400  1.678  -0.032  0.385  T
0.8450  1.300  -0.065  0.454  T
0.8500  0.578  -0.021  0.377  T
0.8550  0.609  -0.017  0.347  T
0.8600  3.025  0.042  0.288  T
0.8650  4.534  0.051  0.315  T
0.8700  1.294  -0.033  0.327  T
0.8750  0.475  0.039  0.339  T
0.8800  2.485  -0.028  0.296  T
0.8850  1.812  -0.030  0.295  T
0.8900  0.702  0.011  0.407  T
0.8950  1.503  -0.074  0.329  T
0.9000  1.637  -0.040  0.345  T
0.9050  0.962  -0.056  0.444  T
0.9100  0.287  0.002  0.356  T
0.9150  2.422  0.024  0.339  T
0.9200  4.855  -0.049  0.347  T
0.9250  1.153  -0.093  0.316  T
0.9300  0.359  -0.073  0.279  T
0.9350  2.896  -0.032  0.268  T
0.9400  4.757  -0.084  0.259  T
0.9450  4.095  -0.046  0.226  T
0.9500  2.093  0.075  0.336  T
0.9550  0.362  -0.008  0.294  T
0.9600  0.388  -0.024  0.401  T
0.9650  3.009  -0.065  0.375  T
0.9700  2.779  0.080  0.406  T
0.9750  0.909  0.003  0.372  T
0.9800  0.366  0.093  0.367  T
0.9850  0.844  -0.115  0.346  T
0.9900  2.587  0.014  0.349  T
0.9950  3.061  0.065  0.350  T
1.0000  1.038  -0.005  0.379  T
1.0050  3.284  -0.077  0.313  T
1.0100  2.517  -0.085  0.382  T
1.0150  0.673  -0.005  0.429  T
1.0200  0.857  -0.035  0.377  T
1.0250  1.266  -0.084  0.377  T
1.0300  2.171  -0.008  0.332  T
1.0350  2.880  -0.023  0.315  T
1.0400  0.945  -0.007  0.365  T
1.0450  2.179  -0.049  0.391  T
1.0500  1.290  -0.003  0.341  T
1.0550  0.207  0.005  0.333  T
1.0600  0.342  0.018  0.292  T
1.0650  1.754  0.035  0.437  T
1.0700  2.423  -0.043  0.363  T
1.0750  2.038  0.010  0.329  T
1.0800  2.575  -0.029  0.484  T
1.0850  4.888  -0.028  0.407  T
1.0900  5.594  -0.029  0.296  T
1.0950  7.355  -0.054  0.247  T
1.1000  10.099  0.019  0.292  S
1.1050  9.858  -0.022  0.276  T
1.1100  6.579  0.001  0.277  T
1.1150  2.892  0.084  0.350  T
1.1200  1.190  0.055  0.467  T
1.1250  0.372  -0.059  0.376  T
1.1300  0.788  0.005  0.324  T
1.1350  0.885  0.010  0.402  T
1.1400  1.284  0.008  0.305  T
1.1450  2.715  0.031  0.274  T
1.1500  4.188  -0.037  0.290  T
1.1550  1.975  0.060  0.292  T
1.1600  2.107  0.080  0.284  T
1.1650  0.621  -0.015  0.310  T
1.1700  1.490  -0.038  0.380  T
1.1750  1.706  0.023  0.367  T
1.1800  2.184  -0.050  0.280  T
1.1850  3.892  0.061  0.264  T
1.1900  2.552  0.052  0.333  T
1.1950  0.790  -0.042  0.341  T
1.2000  1.285  0.013  0.302  T
1.2050  1.911  0.015  0.401  T
1.2100  1.434  -0.013  0.449  T
1.2150  0.977  -0.080  0.394  T
1.2200  0.534  0.030  0.328  T
1.2250  1.931  0.011  0.297  T
1.2300  3.186  0.086  0.304  T
1.2350  2.468  -0.087  0.294  T
1.2400  1.339  0.063  0.261  T
1.2450  1.096  0.008  0.343  T
1.2500  1.186  -0.011  0.354  T
1.2550  1.775  -0.056  0.406  T
1.2600  0.991  0.047  0.380  T
1.2650  0.576  0.020  0.317  T
1.2700  1.263  0.051  0.452  T
1.2750  3.822  -0.059  0.340  T
1.2800  2.398  0.002  0.295  T
1.2850  2.490  -0.047  0.435  T
1.2900  3.946  0.067  0.371  T
1.2950  3.150  -0.070  0.462  T
1.3000  1.543  -0.074  0.295  T
1.3050  2.471  0.058  0.297  T
1.3100  1.102  -0.022  0.493  T
1.3150  1.081  0.060  0.367  T
1.3200  2.163  -0.085  0.325  T
1.3250  3.266  0.012  0.335  T
1.3300  2.255  0.012  0.355  T
1.3350  0.428  -0.058  0.346  T
1.3400  1.439  0.092  0.440  T
1.3450  0.417  -0.073  0.412  T
1.3500  2.036  0.004  0.396  T
1.3550  2.198  0.052  0.428  T
1.3600  2.181  -0.098  0.357  T
1.3650  2.192  0.028  0.382  T
1.3700  1.685  -0.035  0.397  T
1.3750  2.389  0.031  0.426  T
1.3800  3.835  0.037  0.351  T
1.3850  4.456  -0.007  0.319  T
1.3900  3.005  0.081  0.299  T
1.3950  1.612  -0.056  0.278  T
1.4000  1.064  -0.001  0.351  T
1.4050  1.818  0.051  0.407  T
1.4100  0.961  -0.018  0.357  T
1.4150  0.255  0.008  0.397  T
1.4200  2.012  -0.018  0.393  T
1.4250  3.456  0.049  0.404  T
1.4300  2.050  -0.016  0.427  T
1.4350  1.339  -0.030  0.307  T
1.4400  1.594  -0.062  0.307  T
1.4450  1.710  -0.003  0.349  T
1.4500  1.914  -0.004  0.243  T
1.4550  4.105  -0.167  0.252  T
1.4600  5.006  -0.074  0.243  T
1.4650  1.275  -0.042  0.289  T
1.4700  0.838  0.008  0.373  T
1.4750  1.322  -0.065  0.338  T
1.4800  3.616  0.079  0.424  T
1.4850  2.446  0.001  0.374  T
1.4900  0.245  0.035  0.386  T
1.4950  0.777  -0.056  0.328  T
1.5000  1.311  0.035  0.334  T
1.5050  2.532  -0.044  0.402  T
1.5100  2.448  -0.023  0.342  T
1.5150  1.621  0.087  0.364  T
1.5200  2.810  0.041  0.294  T
1.5250  4.619  -0.097  0.290  T
1.5300  4.995  -0.075  0.370  T
1.5350  2.670  -0.081  0.428  T
1.5400  0.491  -0.002  0.396  T
1.5450  0.689  -0.129  0.418  T
1.5500  1.115  -0.035  0.390  T
1.5550  2.848  -0.000  0.292  T
1.5600  3.953  0.029  0.305  T
1.5650  2.629  -0.011  0.302  T
1.5700  3.528  0.051  0.305  T
1.5750  0.754  -0.066  0.317  T
1.5800  1.130  0.041  0.407  T
1.5850  1.945  -0.072  0.370  T
1.5900  0.614  0.026  0.365  T
1.5950  1.142  -0.009  0.308  T
1.6000  2.887  -0.047  0.339  T
1.6050  0.949  -0.052  0.402  T
1.6100  1.353  -0.048  0.375  T
1.6150  2.838  -0.005  0.321  T
1.6200  2.306  0.079  0.319  T
1.6250  5.111  0.036  0.354  T
1.6300  2.581  0.056  0.404  T
1.6350  0.222  -0.049  0.423  T
1.6400  0.651  0.020  0.427  T
1.6450  1.608  -0.026  0.414  T
1.6500  1.580  -0.072  0.368  T
1.6550  5.589  0.117  0.418  T
1.6600  3.159  0.005  0.374  T
1.6650  0.735  0.100  0.272  T
1.6700  0.307  -0.032  0.326  T
1.6750  2.726  0.109  0.381  T
1.6800  2.226  0.000  0.388  T
1.6850  0.511  0.080  0.338  T
1.6900  0.740  -0.091  0.319  T
1.6950  0.825  -0.086  0.342  T
1.7000  0.362  -0.050  0.353  T
1.7050  1.821  0.051  0.366  T
1.7100  1.143  0.067  0.374  T
1.7150  1.279  -0.017  0.341  T
1.7200  0.206  -0.036  0.271  T
1.7250  1.224  -0.032  0.349  T
1.7300  1.930  -0.001  0.307  T
1.7350  1.647  0.034  0.297  T
1.7400  4.030  0.029  0.249  T
1.7450  3.757  0.079  0.288  T
1.7500  1.783  0.039  0.276  T
1.7550  1.574  0.083  0.303  T
1.7600  2.472  0.007  0.354  T
1.7650  4.943  0.102  0.365  T
1.7700  3.169  0.075  0.463  T
1.7750  1.856  0.058  0.346  T
1.7800  2.590  -0.019  0.450  T
