# V.34 Phase 3 STFT sub-sequence scores
# sym_rate=3000  fc=1800
# columns: time_s  S_score  PP_score  TRN_flat  label
0.8050  0.063  -0.160  0.000  T
0.8100  0.063  -0.160  0.000  T
0.8150  0.063  -0.160  0.000  T
0.8200  0.063  -0.160  0.000  T
0.8250  0.063  -0.160  0.000  T
0.8300  0.063  -0.160  0.000  T
0.8350  0.063  -0.160  0.000  T
0.8400  0.063  -0.160  0.000  T
0.8450  0.063  -0.160  0.000  T
0.8500  0.063  -0.161  0.000  T
0.8550  0.063  -0.160  0.000  T
0.8600  0.063  -0.160  0.000  T
0.8650  0.063  -0.160  0.000  T
0.8700  0.063  -0.160  0.000  T
0.8750  0.063  -0.160  0.000  T
0.8800  0.063  -0.160  0.000  T
0.8850  0.063  -0.160  0.000  T
0.8900  0.063  -0.160  0.000  T
0.8950  0.063  -0.160  0.000  T
0.9000  0.063  -0.160  0.000  T
0.9050  0.063  -0.160  0.000  T
0.9100  0.063  -0.161  0.000  T
0.9150  0.063  -0.160  0.000  T
0.9200  0.063  -0.160  0.000  T
0.9250  0.063  -0.160  0.000  T
0.9300  0.063  -0.160  0.000  T
0.9350  0.063  -0.160  0.000  T
0.9400  0.063  -0.160  0.000  T
0.9450  0.063  -0.160  0.000  T
0.9500  0.063  -0.161  0.000  T
0.9550  0.063  -0.160  0.000  T
0.9600  0.063  -0.160  0.000  T
0.9650  0.063  -0.160  0.000  T
0.9700  0.063  -0.160  0.000  T
0.9750  0.063  -0.160  0.000  T
0.9800  0.063  -0.160  0.000  T
0.9850  0.063  -0.161  0.000  T
0.9900  0.063  -0.160  0.000  T
0.9950  0.062  -0.087  0.000  T
1.0000  0.158  -0.082  0.051  T
1.0050  0.296  -0.091  0.134  T
1.0100  0.260  0.002  0.067  T
1.0150  0.186  -0.022  0.469  T
1.0200  0.020  -0.030  0.479  T
1.0250  0.003  0.026  0.253  T
1.0300  0.002  -0.008  0.258  T
1.0350  0.005  0.016  0.255  T
1.0400  0.002  0.025  0.256  T
1.0450  0.003  0.028  0.253  T
1.0500  0.002  -0.008  0.258  T
1.0550  0.005  0.016  0.255  T
1.0600  0.002  0.025  0.256  T
1.0650  0.003  0.028  0.253  T
1.0700  0.002  -0.008  0.258  T
1.0750  0.005  0.016  0.255  T
1.0800  0.002  0.025  0.256  T
1.0850  0.003  0.028  0.253  T
1.0900  0.002  -0.008  0.258  T
1.0950  0.005  0.016  0.255  T
1.1000  0.002  0.025  0.256  T
1.1050  0.003  0.028  0.253  T
1.1100  0.002  -0.008  0.258  T
1.1150  0.005  0.016  0.255  T
1.1200  0.002  0.025  0.256  T
1.1250  0.003  0.028  0.253  T
1.1300  0.002  -0.008  0.258  T
1.1350  0.005  0.016  0.255  T
1.1400  0.002  0.025  0.257  T
1.1450  0.003  0.028  0.253  T
1.1500  0.002  -0.008  0.258  T
1.1550  0.005  0.016  0.255  T
1.1600  0.002  0.025  0.256  T
1.1650  0.003  0.028  0.253  T
1.1700  0.002  -0.008  0.258  T
1.1750  0.005  0.016  0.255  T
1.1800  0.002  0.025  0.256  T
1.1850  0.003  0.028  0.253  T
1.1900  0.002  -0.008  0.258  T
1.1950  0.005  0.016  0.255  T
1.2000  0.002  0.025  0.256  T
1.2050  0.003  0.028  0.253  T
1.2100  0.002  -0.008  0.258  T
1.2150  0.005  0.016  0.255  T
1.2200  0.002  0.025  0.256  T
1.2250  0.003  0.028  0.253  T
1.2300  0.002  -0.008  0.258  T
1.2350  0.005  0.016  0.255  T
1.2400  0.002  0.025  0.256  T
1.2450  0.003  0.028  0.253  T
1.2500  0.002  -0.008  0.258  T
1.2550  0.005  0.016  0.255  T
1.2600  0.002  0.025  0.256  T
1.2650  0.003  0.028  0.253  T
1.2700  0.002  -0.008  0.258  T
1.2750  0.005  0.016  0.255  T
1.2800  0.002  0.025  0.256  T
1.2850  0.003  0.028  0.253  T
1.2900  0.002  -0.008  0.258  T
1.2950  0.005  0.016  0.255  T
1.3000  0.002  0.025  0.256  T
1.3050  0.003  0.028  0.253  T
1.3100  0.002  -0.008  0.258  T
1.3150  0.005  0.016  0.255  T
