# V.34 Phase 3 segment timeline
# sym_rate=2400  fc=1800
# columns: offset_ms  segment  n_symbols  duration_ms
     0.000  TRN/J_a/SCR         138      57.500
    57.500  PP (6×48T)          120      50.000
   107.500  TRN/J_a/SCR          60      25.000
   132.500  PP (6×48T)           36      15.000
   147.500  TRN/J_a/SCR          24      10.000
   157.500  PP (6×48T)           12       5.000
   162.500  TRN/J_a/SCR          12       5.000
   167.500  PP (6×48T)           72      30.000
   197.500  TRN/J_a/SCR         372     155.000
   352.500  PP (6×48T)           72      30.000
   382.500  TRN/J_a/SCR          12       5.000
   387.500  PP (6×48T)           12       5.000
   392.500  TRN/J_a/SCR          24      10.000
   402.500  PP (6×48T)           24      10.000
   412.500  TRN/J_a/SCR          60      25.000
   437.500  PP (6×48T)           36      15.000
   452.500  TRN/J_a/SCR         384     160.000
   612.500  PP (6×48T)          120      50.000
   662.500  TRN/J_a/SCR          24      10.000
   672.500  PP (6×48T)           12       5.000
   677.500  TRN/J_a/SCR          96      40.000
   717.500  PP (6×48T)           36      15.000
   732.500  TRN/J_a/SCR          12       5.000
   737.500  PP (6×48T)           12       5.000
   742.500  TRN/J_a/SCR          24      10.000
   752.500  PP (6×48T)           12       5.000
   757.500  TRN/J_a/SCR         324     135.000
   892.500  PP (6×48T)          108      45.000
   937.500  TRN/J_a/SCR          24      10.000
   947.500  PP (6×48T)           12       5.000
   952.500  TRN/J_a/SCR          72      30.000
   982.500  PP (6×48T)          108      45.000
  1027.500  TRN/J_a/SCR         264     110.000
  1137.500  PP (6×48T)           12       5.000
  1142.500  TRN/J_a/SCR          12       5.000
  1147.500  PP (6×48T)           24      10.000
  1157.500  TRN/J_a/SCR         240     100.000
  1257.500  PP (6×48T)          180      75.000
  1332.500  TRN/J_a/SCR          24      10.000
  1342.500  PP (6×48T)          180      75.000
  1417.500  TRN/J_a/SCR         204      85.000
  1502.500  PP (6×48T)          312     130.000
  1632.500  TRN/J_a/SCR          84      35.000
  1667.500  PP (6×48T)         1344     560.000
  2227.500  TRN/J_a/SCR          12       5.000
  2232.500  PP (6×48T)          180      75.000
  2307.500  TRN/J_a/SCR          60      25.000
  2332.500  PP (6×48T)          192      80.000
  2412.500  TRN/J_a/SCR         209      87.083
