start_ms=12203.333333
slip_symbols=-2
start_sym=6610
symbols=256
mag_ratio=1.370250
sym_evm=0.831333
diff_evm=1.009251
origin_frac=0.273438
quad_balance=0.023438
diff_balance=0.789062
i_mean=+0.002485
q_mean=+0.000989
idx	I	Q	mag	phase_deg	diff_phase_deg
6610	-0.073594	+0.000311	0.073594	+179.758	-64.812
6611	-0.136698	+0.131302	0.189543	+136.153	-43.605
6612	-0.128345	+0.211527	0.247419	+121.248	-14.906
6613	+0.082899	+0.100677	0.130415	+50.532	-70.716
6614	+0.208787	+0.024373	0.210205	+6.658	-43.873
6615	+0.181986	-0.017056	0.182784	-5.354	-12.013
6616	-0.036051	-0.055623	0.066284	-122.949	-117.594
6617	-0.070807	-0.135164	0.152587	-117.648	+5.300
6618	-0.144435	-0.078462	0.164371	-151.488	-33.840
6619	-0.016302	+0.077177	0.078880	+101.927	-106.585
6620	-0.003521	+0.147189	0.147231	+91.370	-10.557
6621	+0.021665	+0.006432	0.022599	+16.535	-74.836
6622	-0.001820	-0.142640	0.142652	-90.731	-107.266
6623	-0.033302	-0.053455	0.062980	-121.923	-31.192
6624	-0.053910	+0.103706	0.116882	+117.467	-120.610
6625	-0.066863	+0.177881	0.190033	+110.601	-6.866
6626	-0.024838	+0.140065	0.142250	+100.056	-10.545
6627	+0.190886	+0.161649	0.250136	+40.259	-59.797
6628	+0.308714	+0.106256	0.326488	+18.993	-21.266
6629	+0.177359	+0.017693	0.178239	+5.697	-13.296
6630	+0.046388	-0.099797	0.110051	-65.070	-70.767
6631	+0.078560	-0.123199	0.146115	-57.476	+7.594
6632	+0.121688	-0.242240	0.271087	-63.328	-5.852
6633	-0.124713	-0.163190	0.205388	-127.388	-64.060
6634	-0.237693	-0.122656	0.267474	-152.705	-25.317
6635	-0.145554	-0.090863	0.171587	-148.025	+4.680
6636	-0.022118	-0.094467	0.097022	-103.178	+44.848
6637	-0.039758	+0.095105	0.103080	+112.687	-144.136
6638	+0.006983	+0.273627	0.273716	+88.538	-24.149
6639	+0.214455	+0.177050	0.278096	+39.542	-48.996
6640	+0.285722	+0.079662	0.296619	+15.579	-23.963
6641	+0.304845	+0.170661	0.349365	+29.241	+13.662
6642	+0.258600	+0.210571	0.333487	+39.155	+9.914
6643	+0.169926	-0.085609	0.190273	-26.739	-65.894
6644	-0.045533	-0.314325	0.317606	-98.243	-71.503
6645	-0.190068	-0.405408	0.447752	-115.119	-16.876
6646	-0.302319	-0.439501	0.533439	-124.523	-9.404
6647	-0.561818	-0.672226	0.876087	-129.887	-5.365
6648	-0.454897	-0.709054	0.842430	-122.682	+7.205
6649	+0.222588	-0.108943	0.247819	-26.079	+96.603
6650	-0.028626	+0.322821	0.324087	+95.067	+121.146
6651	+0.169881	+0.738559	0.757845	+77.046	-18.021
6652	-0.369401	+0.793019	0.874835	+114.977	+37.931
6653	-0.103260	+0.380365	0.394132	+105.188	-9.788
6654	-0.227305	+0.153138	0.274078	+146.031	+40.843
6655	-0.047389	+0.079016	0.092138	+120.953	-25.079
6656	+0.021752	-0.066824	0.070275	-71.969	+167.078
6657	+0.103028	-0.021877	0.105325	-11.988	+59.981
6658	+0.217099	-0.074367	0.229483	-18.909	-6.921
6659	+0.162512	+0.065642	0.175269	+21.995	+40.904
6660	+0.203230	+0.009597	0.203457	+2.704	-19.291
6661	+0.109794	+0.217948	0.244042	+63.263	+60.559
6662	-0.189575	+0.139451	0.235340	+143.662	+80.399
6663	-0.217902	-0.294702	0.366511	-126.479	+89.859
6664	+0.195031	-0.314444	0.370017	-58.191	+68.288
6665	+0.114469	-0.177579	0.211276	-57.194	+0.997
6666	+0.467632	-0.320416	0.566874	-34.418	+22.775
6667	+0.713248	+0.402086	0.818777	+29.412	+63.830
6668	-0.128672	+0.814489	0.824590	+98.977	+69.566
6669	-0.559974	+0.210616	0.598272	+159.388	+60.411
6670	-0.522967	+0.081524	0.529283	+171.140	+11.752
6671	-0.838981	-0.340380	0.905399	-157.917	+30.943
6672	-0.126655	-1.079859	1.087261	-96.690	+61.228
6673	+0.678092	-0.689601	0.967139	-45.482	+51.207
6674	+0.649890	-0.015303	0.650070	-1.349	+44.133
6675	+0.606311	+0.028847	0.606997	+2.724	+4.073
6676	+0.564121	+0.738345	0.929186	+52.619	+49.895
6677	-0.428693	+0.909124	1.005129	+115.246	+62.627
6678	-0.785944	+0.052041	0.787665	+176.212	+60.966
6679	-0.445788	-0.202533	0.489639	-155.567	+28.222
6680	-0.341342	-0.369184	0.502803	-132.756	+22.811
6681	+0.140804	-0.530141	0.548521	-75.126	+57.630
6682	+0.365190	+0.053220	0.369048	+8.291	+83.417
6683	-0.047410	+0.036478	0.059819	+142.425	+134.133
6684	+0.189895	-0.088320	0.209429	-24.943	-167.368
6685	+0.006007	+0.113146	0.113305	+86.961	+111.904
6686	+0.071913	-0.306965	0.315276	-76.815	-163.776
6687	+0.654755	+0.115263	0.664823	+9.984	+86.799
6688	+0.005053	+0.801956	0.801972	+89.639	+79.655
6689	-0.501814	+0.385181	0.632599	+142.491	+52.852
6690	-0.417999	+0.201584	0.464068	+154.254	+11.763
6691	-0.855415	-0.063370	0.857759	-175.763	+29.983
6692	-0.307714	-1.028162	1.073222	-106.662	+69.101
6693	+0.576206	-0.725778	0.926697	-51.553	+55.108
6694	+0.622844	-0.091212	0.629487	-8.331	+43.222
6695	+0.590935	-0.008394	0.590994	-0.814	+7.518
6696	+0.762997	+0.518773	0.922654	+34.212	+35.026
6697	-0.154738	+0.987726	0.999774	+98.904	+64.691
6698	-0.716879	+0.223809	0.751004	+162.662	+63.758
6699	-0.435588	-0.182246	0.472176	-157.296	+40.042
6700	-0.340165	-0.328773	0.473079	-135.976	+21.320
6701	+0.112585	-0.596813	0.607339	-79.317	+56.659
6702	+0.441995	+0.013123	0.442189	+1.701	+81.018
6703	+0.050472	+0.139458	0.148310	+70.104	+68.403
6704	+0.107871	+0.098649	0.146177	+42.443	-27.661
6705	-0.044587	+0.213193	0.217806	+101.813	+59.369
6706	-0.179781	+0.021583	0.181072	+173.154	+71.342
6707	-0.079085	-0.070731	0.106101	-138.191	+48.654
