monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1725121200681000,5033,160,1,0,172,948437269,0,0,0
1725121219085000,5034,320,0,0,172,948437269,1,160,18404000
1725121240252000,5035,480,0,0,172,948437269,1,160,21167000
1725121260506000,5036,640,0,0,172,948437269,1,160,20254000
1725121278709000,5037,800,0,0,172,948437269,1,160,18203000
1725121299822000,5038,960,0,0,172,948437269,1,160,21113000
1725121319838000,5039,1120,0,0,172,948437269,1,160,20016000
1725121339178000,5040,1280,0,0,172,948437269,1,160,19340000
1725121360328000,5041,1440,0,0,172,948437269,1,160,21150000
1725121380458000,5042,1600,0,0,172,948437269,1,160,20130000
1725121399573000,5043,1760,0,0,172,948437269,1,160,19115000
1725121419673000,5044,1920,0,0,172,948437269,1,160,20100000
1725121439831000,5045,2080,0,0,172,948437269,1,160,20158000
1725121460013000,5046,2240,0,0,172,948437269,1,160,20182000
1725121479238000,5047,2400,0,0,172,948437269,1,160,19225000
1725121500353000,5048,2560,0,0,172,948437269,1,160,21115000
1725121520475000,5049,2720,0,0,172,948437269,1,160,20122000
1725121538771000,5050,2880,0,0,172,948437269,1,160,18296000
1725121558943000,5051,3040,0,0,172,948437269,1,160,20172000
1725121580062000,5052,3200,0,0,172,948437269,1,160,21119000
1725121600175000,5053,3360,0,0,172,948437269,1,160,20113000
1725121619561000,5054,3520,0,0,172,948437269,1,160,19386000
1725121639160000,5055,3680,0,0,172,948437269,1,160,19599000
1725121660337000,5056,3840,0,0,172,948437269,1,160,21177000
1725121680470000,5057,4000,0,0,172,948437269,1,160,20133000
1725121699560000,5058,4160,0,0,172,948437269,1,160,19090000
1725121719670000,5059,4320,0,0,172,948437269,1,160,20110000
1725121739751000,5060,4480,0,0,172,948437269,1,160,20081000
1725121759275000,5061,4640,0,0,172,948437269,1,160,19524000
1725121780387000,5062,4800,0,0,172,948437269,1,160,21112000
1725121800079000,5063,4960,0,0,172,948437269,1,160,19692000
1725121820242000,5064,5120,0,0,172,948437269,1,160,20163000
1725121840432000,5065,5280,0,0,172,948437269,1,160,20190000
1725121859633000,5066,5440,0,0,172,948437269,1,160,19201000
1725121879762000,5067,5600,0,0,172,948437269,1,160,20129000
1725121899850000,5068,5760,0,0,172,948437269,1,160,20088000
1725121920010000,5069,5920,0,0,172,948437269,1,160,20160000
1725121940178000,5070,6080,0,0,172,948437269,1,160,20168000
1725121959379000,5071,6240,0,0,172,948437269,1,160,19201000
1725121979613000,5072,6400,0,0,172,948437269,1,160,20234000
1725121999697000,5073,6560,0,0,172,948437269,1,160,20084000
1725122019051000,5074,6720,0,0,172,948437269,1,160,19354000
1725122040207000,5075,6880,0,0,172,948437269,1,160,21156000
1725122060399000,5076,7040,0,0,172,948437269,1,160,20192000
