monotonic_ns,seq,timestamp,marker,payload_type,packet_bytes,ssrc,seq_delta,ts_delta,wall_delta_ns
1725123200976000,3770,371805092,0,0,172,437012093,1,160,20550000
1725123220280000,3771,371805252,0,0,172,437012093,1,160,19304000
1725123240378000,3772,371805412,0,0,172,437012093,1,160,20098000
1725123260546000,3773,371805572,0,0,172,437012093,1,160,20168000
1725123280251000,3774,371805732,0,0,172,437012093,1,160,19705000
1725123300257000,3775,371805892,0,0,172,437012093,1,160,20006000
1725123320338000,3776,371806052,0,0,172,437012093,1,160,20081000
1725123340437000,3777,371806212,0,0,172,437012093,1,160,20099000
1725123360527000,3778,371806372,0,0,172,437012093,1,160,20090000
1725123380373000,3779,371806532,0,0,172,437012093,1,160,19846000
1725123400284000,3780,371806692,0,0,172,437012093,1,160,19911000
1725123420344000,3781,371806852,0,0,172,437012093,1,160,20060000
1725123440908000,3782,371807012,0,0,172,437012093,1,160,20564000
1725123460579000,3783,371807172,0,0,172,437012093,1,160,19671000
1725123480337000,3784,371807332,0,0,172,437012093,1,160,19758000
1725123500300000,3785,371807492,0,0,172,437012093,1,160,19963000
1725123520488000,3786,371807652,0,0,172,437012093,1,160,20188000
1725123540574000,3787,371807812,0,0,172,437012093,1,160,20086000
1725123560398000,3788,371807972,0,0,172,437012093,1,160,19824000
1725123580537000,3789,371808132,0,0,172,437012093,1,160,20139000
1725123600372000,3790,371808292,0,0,172,437012093,1,160,19835000
1725123620351000,3791,371808452,0,0,172,437012093,1,160,19979000
1725123640468000,3792,371808612,0,0,172,437012093,1,160,20117000
1725123660344000,3793,371808772,0,0,172,437012093,1,160,19876000
1725123681967000,3794,371808932,0,0,172,437012093,1,160,21623000
1725123700804000,3795,371809092,0,0,172,437012093,1,160,18837000
1725123720375000,3796,371809252,0,0,172,437012093,1,160,19571000
1725123740522000,3797,371809412,0,0,172,437012093,1,160,20147000
1725123760455000,3798,371809572,0,0,172,437012093,1,160,19933000
1725123781078000,3799,371809732,0,0,172,437012093,1,160,20623000
1725123800285000,3800,371809892,0,0,172,437012093,1,160,19207000
1725123820438000,3801,371810052,0,0,172,437012093,1,160,20153000
1725123840851000,3802,371810212,0,0,172,437012093,1,160,20413000
